id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38996500,Estudio 4 plazas nuevo en el centro junto a AVE,35659996,Antonio F,San Pablo - Santa Justa,San José Obrero,37.39302,-5.98003,Entire home/apt,73,2,273,2025-03-23,4.10,5,12,59,VFT/SE/06422
39017508,Ático en el corazón de Triana,179785468,Rafael,Triana,Triana Casco Antiguo,37.38655,-6.00592,Entire home/apt,120,2,38,2025-03-23,0.57,7,56,12,VFT/SE/05063
39025868,Triana Fabié,37014375,Antonio,Triana,Triana Casco Antiguo,37.385,-6.00336,Entire home/apt,57,2,238,2025-03-11,3.58,3,25,36,CTC-2019157824
39041083,Cathedral Vista (Private Rooftop),38739414,Daniel,Casco Antiguo,Santa Cruz,37.3834025,-5.9928855,Entire home/apt,243,1,47,2025-03-21,3.96,1,273,47,VFT/SE/05545
39051706,"Riverside Apartment in Triana (4Bdr, 2baths, & AC)",25593726,Mahara Apartments,Triana,Triana Casco Antiguo,37.38481,-6.00475,Entire home/apt,136,2,149,2025-03-16,2.25,8,114,28,VFT/SE/06818
39082805,Carmen de Triana,4262133,Angeles,Triana,Triana Casco Antiguo,37.38466,-6.00464,Entire home/apt,214,2,69,2025-02-26,1.04,10,186,9,VFT/SE/06578
39096792,CD Apartment Cathedral/Alcazar Carrreteria st,37040238,Grupo Se&Pal,Casco Antiguo,Arenal,37.38543,-5.9972,Entire home/apt,97,2,138,2025-03-10,2.08,34,126,26,VFT/SE/08058
39122645,Sunterrace Loft- Triana's Star (10' from Feria!),232496086,Guadalupe,Triana,Triana Este,37.380242,-5.999633,Entire home/apt,67,1,240,2025-03-25,3.68,1,53,111,VUT/SE/06907
39142220,Precioso apartamento en Amate,300233725,Rosario,Cerro - Amate,Juan XXIII,37.37675,-5.95224,Entire home/apt,82,2,24,2025-03-03,0.36,1,82,8,VFT/SE/06448
39143776,Alohamundi San Leandro,118796113,Maria Eugenia,Casco Antiguo,San Bartolomé,37.39019,-5.98809,Entire home/apt,133,2,174,2025-03-07,2.67,37,102,39,VFT/SE/05923
39160161,Elegant Interior Room in Seville’s Heart,244128152,Ly,Casco Antiguo,San Vicente,37.39498,-5.99981,Private room,39,2,10,2025-03-22,0.21,4,71,8,VUT/SE/09054
39173813,Hispalis Guadalquivir Center,145486825,Malala,Casco Antiguo,San Lorenzo,37.40118,-5.99819,Entire home/apt,,2,0,,,1,0,0,VFT/SE/00137
39186312,GotoSeville New smart mini studio 200,242344266,GotoSeville,Casco Antiguo,Arenal,37.3882,-5.99847,Entire home/apt,77,1,39,2024-12-29,0.60,14,297,9,VFT/SE/8516
39187127,"Asunción 70. 2 bedrooms, 2 bathrooms",56838814,Veoapartment,Los Remedios,Los Remedios,37.37377,-5.99758,Entire home/apt,146,1,41,2025-03-24,0.62,34,191,13,VUT/SE/06366
39220537,Charming apartment near Casa Pilatos.,81886059,María,Casco Antiguo,Santa Catalina,37.39184,-5.98838,Entire home/apt,114,3,115,2025-03-05,1.77,3,0,28,H41811AAWN9
39220783,"Semana Santa, Feria, Toros preciosas vistas",9891628,Maria Teresa,Casco Antiguo,Alfalfa,37.39146,-5.99777,Entire home/apt,279,4,4,2020-02-24,0.06,2,111,0,VFT/SE/00621
39222254,"Spacious 3BR, fantastic balcony, central location",300984073,Luis,Casco Antiguo,Santa Cruz,37.38586,-5.99356,Entire home/apt,301,1,76,2025-02-25,1.16,1,341,19,CTC.2019002617
39223417,"Apartamento en el centro de Sevilla""reformado 2020",3734547,Enrique,Casco Antiguo,San Lorenzo,37.39859,-5.99552,Entire home/apt,63,3,64,2025-03-10,0.97,2,126,17,CTC-2019159185
39237404,The House of Flowers 🌸,301175874,Gloria,Casco Antiguo,Museo,37.38874,-5.9995,Entire home/apt,146,2,13,2020-07-30,0.20,1,47,0,VFT/SE/02814
39245986,HABITACIONES CON PISCINA EN LA MEJOR ZONA SEVILLA,44409089,Rebeca,Nervión,Huerta del Pilar,37.38532,-5.98051,Private room,42,1,205,2025-03-22,3.10,2,55,57,VFT/SE/06359
39260823,habitacion doble a 5' Feria y 10' del centro a pie,157549174,Helena,Los Remedios,Los Remedios,37.37405,-5.99903,Private room,40,1,4,2019-11-24,0.06,1,50,0,VFT/SE/04507
39266195,Alhóndiga Bajo. 1-bedroom in the centre,301453134,Markus,Casco Antiguo,Santa Catalina,37.39228,-5.98856,Entire home/apt,97,1,25,2025-03-03,0.38,4,325,1,VFT/SE/06432
39268895,Alhóndiga Primero. 2-bedrooms in the centre,301453134,Markus,Casco Antiguo,Santa Catalina,37.39228,-5.98856,Entire home/apt,116,1,23,2025-01-02,0.36,4,321,7,VFT/SE/06433
39269332,Alhóndiga Segundo. 2-bedrooms in the centre,301453134,Markus,Casco Antiguo,Santa Catalina,37.39228,-5.98856,Entire home/apt,116,1,51,2025-03-03,0.78,4,317,15,VFT/SE/06434
39270056,Alohamundi Castilla I,118796113,Maria Eugenia,Triana,Triana Casco Antiguo,37.38837,-6.0066,Entire home/apt,117,2,143,2025-03-09,2.30,37,114,29,VFT/SE/03250
39270635,Alohamundi San Esteban I,118796113,Maria Eugenia,Casco Antiguo,San Bartolomé,37.3887,-5.98487,Entire home/apt,108,2,221,2025-03-15,3.35,37,119,26,VFT/SE/05757
39308984,Precioso apartamento en el Arenal,68020018,Isabel María,Casco Antiguo,Arenal,37.38456,-5.99751,Entire home/apt,95,1,130,2025-03-19,1.96,1,320,25,VFT/SE/06269
39335562,ISG Apartments: Magnífico ático feria,302124515,Claudio,Los Remedios,Los Remedios,37.37121,-5.99681,Entire home/apt,293,1,8,2025-02-16,0.14,1,261,3,CTC-2018226298
39386786,"Setas Sevilla – Central Lumineux Terrasse, 1 Ch AC",10795586,Guillaume,Casco Antiguo,Alfalfa,37.39026,-5.99323,Entire home/apt,78,3,222,2025-03-23,3.35,2,107,53,CTC-2019 171317
39389344,Fabuloso apartamento en Triana,258156437,Nieves,Triana,Triana Este,37.38016,-6.00572,Entire home/apt,67,2,149,2025-03-24,2.25,4,24,39,VFT/SE/08464
